ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
32,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,15,"I think a hard maximum is often a bit misguided. If you really need 15 words to describe the function, you've probably got an issue where the function is doing too much; but you may also have a good justification/an exception to the ""rule""",Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",Ruby,10+ years
33,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,JavaScript",,10+ years
34,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,Java,,5 - 9 years
35,Strongly Agree,Make the code more readable ,Strongly Agree,The verb gives an idea about the task to be performed by that method. Help with the semantic.,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,Standards help with readability,Strongly Agree,,Strongly Agree,,Strongly Agree,,The name should reflect the task performed and not only follows the previous rules. FineArea( ) for example. ,Very Strict,"It is a higher education and we emphasize the good programming practices , naming is one of them.","C++,Python,C",,10+ years
36,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
37,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,JavaScript",,5 - 9 years
38,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,Each coder has their own style and I try to set coding standards when using naming conventions although this isn't possible in some team environments. We are peers and I am not their boss so they ignore the suggestions. ,"C++,Java,C#,JavaScript",,10+ years
39,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,"Good naming of functions, methods, and properties for clarity","C++,Java,C,C#",,10+ years
40,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java",,3 - 4 years
41,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,JavaScript",,3 - 4 years
42,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,It is fine to include easter egg slang methods that alias properly named methods,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,"We don't have defined standards, we just enforce common sense through peer review","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, PHP, Swift, SQL, Kotlin, Go",10+ years
43,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,"CamelCase, shortest name possible avoiding acronyms and loss of information","C++,Python,Java,C,C#",,10+ years
44,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,Abbreviations should be domain specific. ,Strongly Agree,,5,,Strongly Agree,I hate those,Strongly Agree,,Strongly Agree,,Disagree,,Good luck!,No Standards,Programmers have their own style however they know how to make their code readable!,"C++,Java,C,C#",,10+ years
45,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,clarity is more important than concision. But being too long is also not clear.,Agree,"the more professional the code, the more professional the names. Personal projects can be far more idiomatic.",Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript,Other language? Please specify below.","Lisps (Clojure, common lisp, Arc, emacs lisp), sql",10+ years
46,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Methods named with get*() prefix should never have a side effect.,Slightly Strict,,"Python,Java,Other language? Please specify below.",Go,10+ years
47,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,11,,Strongly Agree,,Agree,,Agree,,Disagree,,,Strict,,"C++,Python,C,Other language? Please specify below.",R,10+ years
48,Strongly Agree,Mixing methods is annoying. ,Agree,"Sometimes methods serve only to return a data element but require computation to fetch it. In this case, get_foobar() isn't much better than foobar()",Agree,,Strongly Agree,,Strongly Agree,,3,:-) great method name there... ,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Very few rules are absolutely true everywhere. Remember that names are communication tools. Communicate well. ,Strict,"We do Python using Pep-8 and various extensions to that, like Google Python guidelines. Other languages use relatively strict 'lint' tools. ","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","I don't have room for that. :-)
Mostly I use Python, R, SQL, C#, JavaScript, and a few special purpose languages. ",10+ years
49,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,"Capitalizing classes, lowercase method names. I personally really like Ruby's ? at the end of the method and wish that every language had that. In that vein, using certain words to match their return values is helpful, e.g. ""isValid()"". Oh and don't repeat the variable names in the method name is a good general rule, e.g. bad: setFirstName(firstName), good set(firstName). Not always possible but pointless repetition is a bad thing.",Strict,,"C++,Python,Java,C,JavaScript",,10+ years
50,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,,,,,,"C++,Python,C,C#",,5 - 9 years
51,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,Sometimes hard to avoid without being overly verbose. There's a trade-off factor to consider here.,5,,Agree,,Disagree,"Strive for clarity, not grammatical correctness",Agree,,Strongly Agree,Namespaces are there for a reason,Consistency in method names within the class. The debate between GetValue() and Value() is interesting too. I tend to use the latter.,Slightly Strict,Camel case required. The rest is unspecified.,"C++,Java,C,C#,Other language? Please specify below.",Ruby,10+ years
52,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,Depends,Agree,,Agree,,Strongly Agree,,Agree,,Should avoid similarly named methods. Avoid overly broad concept names,Slightly Strict,Camel case.,C#,,10+ years
53,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Agree,,Agree,,Disagree,,Agree,,"Methods that pull from other methods, might benefit if they’re named so that you know their parent method is related to them. ",Strict,,"C++,Python,Java,C",,5 - 9 years
54,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"Don't use names that similar, or differ only by one character. Don't use names that are phonologically similar like: random_end() and random_int().  ",No Standards,,"C++,Python",,5 - 9 years
55,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,"Camel case, clear, descriptive names","Python,JavaScript,Other language? Please specify below.","Go, Ruby",3 - 4 years
56,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,"You end up with SO many functions, this is a good general guideline, but not always possible",8,,Agree,,Agree,Meh,Strongly Agree,,Strongly Agree,,,Not Strict,,Other language? Please specify below.,Php,10+ years
57,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,15,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,JavaScript,,1 - 2 years
58,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,12,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","R
Ruby
Php
Stark
Hadoop",10+ years
59,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,4,,Agree,,Disagree,Sometimes grouping and discovery based on adjectives is needed.,Agree,,Strongly Agree,,,Strict,"Camel case in Perl and php, with _ prefixes to indicate scope.","Python,C#,JavaScript,Other language? Please specify below.","Perl, php",10+ years
60,Strongly Agree,I have worked with code that doesn't follow standards and it's a nightmare.,Strongly Disagree,"This depends on the programming language. In Ruby this would not be a requirement, for example. Always follow the standards for the language.",Strongly Agree,Code so that other people can understand it.,Strongly Agree,,Strongly Agree,,8,Make it as short as you can so that it's still clear.,Strongly Agree,"Be funny in comments if you must, not in method names.",Strongly Disagree,,Strongly Agree,,Strongly Agree,,,Strict,"We use Ruby and therefore Ruby standards, plus some additional things learned from trial and error","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, Prolog, PHP, Perl, Pascal, lisp, Visual Basic, Fortran, assembly",10+ years
61,Strongly Agree,Follow accepted style guidelines for the language used,Strongly Disagree,"Depends on the language. For example, Ruby allows/encourages names like transcript? that returns true/false if the arg is a transcript. Similarly, when chaining methods, it often reads better to exclude the verb, e.g. transcripts if you are yielding/returning a collection of transcripts ",Strongly Agree,Assuming acronyms are covered by “domain terms”,Strongly Agree,,Strongly Agree,,15,Characters are cheap and monitors are wide. Being concise is nice but is not preferred over clarity ,Strongly Agree,,Agree,Seems reasonable but there are surely counter examples that escape me at the moment,Strongly Agree,,Strongly Agree,,"Follow language conventions. Follow codebase conventions, even if they are not ideal because consistency is key for search and comprehension. ",No Standards,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, Go, Typescript",10+ years
62,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,4,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
63,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Agree,,Disagree,,,No Standards,,"C++,Python,Java,C",,10+ years
64,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,camelcase,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
65,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java",,10+ years
66,Strongly Agree,,Disagree,sometimes if it is an exception handler the function name does not match its action.,Agree,could use acronyms and abbreviations,Agree,could have multiple expansions but the expansion is obvious from the context.  example CFG could be context free grammar or control flow graph,Disagree,see last comment.,5,seems like this is related to English phrase lengths,Agree,for international teams,Disagree,not really sure here.  it depends on the purpose of the method.,Disagree,it might be obvious by the context and save typing time.,Disagree,not sure about this.  would have to see examples in context to answer this question. need a N/A option to these questions.,,No Standards,,"C++,Python,Java,C,JavaScript",,10+ years
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Strongly Agree,,Strongly Agree,,Agree,We can also use abv. Like getLen(),Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,Not Strict,Camel,"Python,Java,JavaScript",,5 - 9 years
69,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
70,Agree,,Agree,,Agree,,Disagree,,Agree,,4,,Disagree,,Disagree,,Agree,,Agree,,,Not Strict,,"C++,C,JavaScript",,10+ years
71,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,10,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Strict,,Java,,3 - 4 years
72,Agree,Not too long bame,Agree,,Strongly Agree,It suppose to reflect the job of the method using simple represntitve words,Strongly Agree,Just common abbreviations in programers community,Strongly Agree,,4,If it is more than 2 underscore is recommended to be used,Strongly Agree,Suppose to be more formal and common rather than personal,Strongly Agree,,Agree,Full name is better especially when we come back to the code after long time we can understand it as well as other programmers,Disagree,It can be used in different format,Nothing else,No Standards,The name of the method should be meaningful and reflect the method job ,"C++,Python,Java,Other language? Please specify below.",R,10+ years
73,Strongly Agree,"Perhaps the definition of camel case can be updated to reflect that the first letter should be lower case. Also, you may be interested to note that I have heard underscores being referred to as ""snake case"", for the image they can evoke :)",Strongly Agree,"Additionally, I feel the method should START with the verb. ",Agree,"Given that ""familiar/domain-relevant terms"" is loosely defined, I cannot strongly agree. Domain-relevance can evolve, and there can be pockets of domain knowledge resident in certain programmers and nonexistent elsewhere. Hence, although I agree with the principle, I am left wondering how much objectivity can be achieved in qualifying what is relevant naming and what is not. ",Strongly Agree,,Strongly Agree,,7,"I agree with this, however the exception to this is unit testing methods, in programming languages where the name of the unit test method serves as the only representation of what the test does, apart from doc strings, which don't show up in stack traces. Unit test names are allowed, in my opinion, to be longer than usual, so that one can get sufficient preliminary context just by eyeballing a test failure's stack trace. ",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,"The parameter names should be relevant. I found the way Objective-C constructs its method signatures to be very natural language-like, interspersing parameter names and values sort of like keyword arguments in Python. ",Strict,"Being a primarily Python codebase, we name our classes with traditional camel case and functions/methods with snake_case. I have not seen methods that don't begin with a verb, however I don't think we enforce it either in code reviews or our CI linter. ","Python,Java,JavaScript",,1 - 2 years
74,Strongly Agree,,Agree,,Agree,,Agree,,Disagree,,12,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,JavaScript",,3 - 4 years
75,Strongly Agree,,Strongly Agree,,Agree,They can use abbreviations or shortcut. ,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Agree,Some words are well- known for developers ,Agree,,,No Standards,"CamelCase, has descriptive meaning, if I use abbreviations, I add comments.","C++,Python,Java,C",,10+ years
76,Agree,I like to follow ( underscores) standards when naming my methods to make my codes more readable ,Agree,Include a verb in method naming make iOS functions more clearer ,Agree,For readability ,Agree,,Agree,,4,To eliminate confusion & ambiguity ,Agree,,Agree,,Strongly Agree,,Disagree,"When the code includes methods that calls other methods written in different languages, it make sense to add such language prefix to distinguish methods called in different languages ",,Slightly Strict,,"Python,Java,Other language? Please specify below.",Golang,5 - 9 years
77,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,6,,Strongly Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Java",,1 - 2 years
